Liczba wypadków,Liczba zabitych,Liczba rannych,Rok,IDKSIP zdarzenia,Zachowanie kierującego,Zachowanie pieszego,Inne przyczyny
0,0,0,2019,EWK-107556520A,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2019,EWK-107556540X,Nieprawidłowe cofanie,,
0,0,0,2019,EWK-107556762P,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2019,EWK-107561080L,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2019,EWK-107561407W,Inne przyczyny,,
0,0,0,2019,EWK-107564837X,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2019,EWK-107564904M,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2019,EWK-107568892G,Nieustąpienie pierwszeństwa pieszemu w innych okolicznościach,,
0,0,0,2019,EWK-107573897D,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2019,EWK-107574524H,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2019,EWK-107584066J,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2019,EWK-107586238R,,Przekraczanie jezdni w miejscu niedozwolonym,
0,0,0,2019,EWK-107586997Y,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2019,EWK-107614985R,Nieprawidłowe omijanie,,
0,0,0,2019,EWK-107615681Q,,"Nieostrożne wejście na jezdnię: zza pojazdu, przeszkody",
0,0,0,2019,EWK-107616937F,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2019,EWK-107620202M,Niedostosowanie prędkości do warunków ruchu,,
0,0,0,2019,EWK-107620263E,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2019,EWK-107620509H,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2019,EWK-107622345K,,"Nieostrożne wejście na jezdnię: zza pojazdu, przeszkody",
0,0,0,2019,EWK-107625744U,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2019,EWK-107626304P,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2019,EWK-107626430N,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2019,EWK-107627945L,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2019,EWK-107627956R,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2019,EWK-107628630R,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2019,EWK-107631943Q,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2019,EWK-107632302H,,"Nieostrożne wejście na jezdnię: zza pojazdu, przeszkody",
0,0,0,2019,EWK-107635288M,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
