Liczba wypadków,Liczba zabitych,Liczba rannych,Rok,IDKSIP zdarzenia,Zachowanie kierującego,Zachowanie pieszego,Inne przyczyny
0,0,0,2015,EWK-103379811U,Nieustąpienie pierwszeństwa pieszemu w innych okolicznościach (od 11.2015),Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2015,EWK-103379850M,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2015,EWK-103381007G,Inne przyczyny (od 11.2015),,
0,0,0,2015,EWK-103389061T,,Przekraczanie jezdni w miejscu niedozwolonym,
0,0,0,2015,EWK-103389074E,Nieprawidłowe: omijanie,,
0,0,0,2015,EWK-103389233M,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2015,EWK-103389323G,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2015,EWK-103389482N,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2015,EWK-103389522U,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2015,EWK-103393954Q,,Chodzenie nieprawidłową stroną drogi,
0,0,0,2015,EWK-103401901Q,,"Stanie na jezdni, leżenie",
0,0,0,2015,EWK-103430825F,Nieprawidłowe: cofanie,,
0,0,0,2015,EWK-103430835R,Nieustąpienie pierwszeństwa pieszemu w innych okolicznościach (od 11.2015),,
0,0,0,2015,EWK-103431054C,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2015,EWK-103433830T,Inne przyczyny (od 11.2015),"Stanie na jezdni, leżenie",
0,0,0,2015,EWK-103440815R,Nieustąpienie pierwszeństwa pieszemu przy skręcaniu w drogę poprzeczną  (od 11.2015),,
0,0,0,2015,EWK-103451139Q,,"Stanie na jezdni, leżenie",
0,0,0,2015,EWK-103465809M,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2015,EWK-103476907R,,,Nieustalone
0,0,0,2015,EWK-103493163D,Nieudzielenie pierwszeństwa przejazdu,,
0,0,0,2015,EWK-103495836J,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2015,EWK-103495873Q,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2015,EWK-103495938F,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2015,EWK-103497953M,Nieprawidłowe: cofanie,,
0,0,0,2015,EWK-103498000M,,Przekraczanie jezdni w miejscu niedozwolonym,
0,0,0,2015,EWK-103506834G,,Chodzenie nieprawidłową stroną drogi,
0,0,0,2015,EWK-103506888G,Inne przyczyny (od 11.2015),,
0,0,0,2015,EWK-103506940G,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2015,EWK-103506964H,Nieustąpienie pierwszeństwa pieszemu w innych okolicznościach (od 11.2015),,
0,0,0,2015,EWK-103511935D,,"Stanie na jezdni, leżenie",
0,0,0,2015,EWK-103527292N,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2015,EWK-103529866H,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2015,EWK-103530986H,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem; Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2015,EWK-103531556E,,Przekraczanie jezdni w miejscu niedozwolonym,
0,0,0,2015,EWK-103535026Q,Nieprawidłowe: omijanie,,
0,0,0,2015,EWK-103537894W,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2015,EWK-103538167J,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2015,EWK-103538811X,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2015,EWK-103553960K,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2015,EWK-103554014K,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2015,EWK-103554329J,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2015,EWK-103554373T,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2015,EWK-103554490J,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2015,EWK-103554512X,,Inne przyczyny (od 11.2015),
0,0,0,2015,EWK-103562976E,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2015,EWK-103563074C,,Chodzenie nieprawidłową stroną drogi,
0,0,0,2015,EWK-103563082F,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2015,EWK-103563228W,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2015,EWK-103570765K,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2015,EWK-103571085H,Niedostosowanie prędkości do warunków ruchu,,
