Liczba wypadków,Liczba zabitych,Liczba rannych,Rok,IDKSIP zdarzenia,Zachowanie kierującego,Zachowanie pieszego,Inne przyczyny
0,0,0,2017,EWK-105316608R,Nieprawidłowe omijanie,,
0,0,0,2017,EWK-105317823U,Nieprawidłowe wyprzedzanie,,
0,0,0,2017,EWK-105321751F,,"Nieostrożne wejście na jezdnię: zza pojazdu, przeszkody",
0,0,0,2017,EWK-105324686U,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105324743N,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105325418K,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105326937P,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105327856P,Niedostosowanie prędkości do warunków ruchu,,
0,0,0,2017,EWK-105328473D,,Chodzenie nieprawidłową stroną drogi,
0,0,0,2017,EWK-105328583D,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105330843T,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105330917L,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105331154R,Niedostosowanie prędkości do warunków ruchu,,
0,0,0,2017,EWK-105331865W,Nieprawidłowe omijanie,,
0,0,0,2017,EWK-105333220T,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105333343H,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105333763A,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105338025P,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem; Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2017,EWK-105341856A,Niedostosowanie prędkości do warunków ruchu,,
0,0,0,2017,EWK-105344491R,Inne przyczyny,,
0,0,0,2017,EWK-105345206C,,Chodzenie nieprawidłową stroną drogi,
0,0,0,2017,EWK-105346206Y,Niedostosowanie prędkości do warunków ruchu,,
0,0,0,2017,EWK-105346405H,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105346728M,Inne przyczyny,,
0,0,0,2017,EWK-105347850J,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2017,EWK-105348227U,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105349120K,Niedostosowanie prędkości do warunków ruchu,,
0,0,0,2017,EWK-105349128A,,"Leżenie, siedzenie, klęczenie, stanie na jezdni",
0,0,0,2017,EWK-105350780U,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105351054N,,Inne przyczyny,
0,0,0,2017,EWK-105351417C,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105351441T,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105353496X,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2017,EWK-105353706C,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105359552U,,,Nieustalone
0,0,0,2017,EWK-105360965F,Nieprawidłowe wyprzedzanie,,
0,0,0,2017,EWK-105361597D,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105361643L,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105361877Q,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105361884T,Nieustąpienie pierwszeństwa przejazdu,,
0,0,0,2017,EWK-105362781U,Inne przyczyny,,
0,0,0,2017,EWK-105370843G,Nieustąpienie pierwszeństwa pieszemu przy skręcaniu w drogę poprzeczną,,
0,0,0,2017,EWK-105374501M,Nieustąpienie pierwszeństwa pieszemu przy skręcaniu w drogę poprzeczną,,
0,0,0,2017,EWK-105377947R,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105379799X,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105380051N,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105380991G,,"Nieostrożne wejście na jezdnię: zza pojazdu, przeszkody",
0,0,0,2017,EWK-105383862L,Wyprzedzanie pojazdu przed przejściem dla pieszych,,
0,0,0,2017,EWK-105384781F,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,,
0,0,0,2017,EWK-105385309N,Inne przyczyny,,
